season,analysis_period,FlightDate,period_day,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate
2024-2025,Jan 15-30 Baseline,2025-01-21,6,16034,29.41873518772608,19.128102781589124,10.159660720967944,0.13097168516901583
2024-2025,Jan 15-30 Baseline,2025-01-22,7,16244,26.766806205368137,18.345235163752772,8.347697611425756,0.07387343018960847
2024-2025,Jan 15-30 Baseline,2025-01-23,8,18277,22.24653936641681,19.16069376812387,2.9709470919735184,0.11489850631941785
2024-2025,Jan 15-30 Baseline,2025-01-24,9,18142,14.722742806746774,14.099878734428398,0.5567192150810274,0.0661448572373498
2024-2025,Jan 15-30 Baseline,2025-01-25,10,15026,14.840942366564622,14.554771729003061,0.07986157327299348,0.2063090642885665
2024-2025,Jan 15-30 Baseline,2025-01-26,11,18674,11.904251901038878,11.66863018100032,0.08032558637678056,0.15529613366177575
2024-2025,Jan 15-30 Baseline,2025-01-27,12,18007,9.279724551563282,9.079802299105904,0.08330093852390737,0.11662131393347032
2024-2025,Jan 15-30 Baseline,2025-01-28,13,15911,6.008421846521275,5.8827226447112055,0.0251398403620137,0.1005593614480548
2024-2025,Jan 15-30 Baseline,2025-01-29,14,16192,11.042490118577074,9.659090909090908,0.8399209486166008,0.5434782608695652
2024-2025,Jan 15-30 Baseline,2025-01-30,15,18206,18.40601999340877,13.479072833131934,4.608370866747226,0.31857629352960565
2025-2026,Thanksgiving Week,2025-11-23,0,20588,15.373032834660968,15.013600155430348,0.17485914124732854,0.18457353798329124
2025-2026,Thanksgiving Week,2025-11-24,1,20177,22.91718293106012,21.51955196510879,1.0556574317291967,0.3419735342221341
2025-2026,Thanksgiving Week,2025-11-25,2,20739,18.366362891171224,17.821495732677565,0.22180433000626837,0.3230628284873909
2025-2026,Thanksgiving Week,2025-11-26,3,20783,22.446230091902038,21.965067603329643,0.29832074291488236,0.18284174565750855
2025-2026,Thanksgiving Week,2025-11-27,4,11001,7.690209980910827,7.435687664757749,0.145441323516044,0.109080992637033
2025-2026,Thanksgiving Week,2025-11-28,5,18380,15.952121871599564,15.484221980413492,0.34276387377584333,0.1251360174102285
2025-2026,Thanksgiving Week,2025-11-29,6,20216,38.88998812821527,30.17411950929956,8.374554808072814,0.34131381084289675
2025-2026,Thanksgiving Week,2025-11-30,7,21576,49.04523544679273,44.9851687059696,3.8515016685205787,0.20856507230255839
2025-2026,Christmas Week,2025-12-21,0,20046,24.962586052080216,23.485982240846052,1.18228075426519,0.2943230569689714
2025-2026,Christmas Week,2025-12-22,1,20087,19.116841738437795,18.519440434111615,0.4679643550555086,0.12943694927067256
2025-2026,Christmas Week,2025-12-23,2,19860,23.615307150050352,22.905337361530716,0.4682779456193354,0.2416918429003021
2025-2026,Christmas Week,2025-12-24,3,15596,16.824826878686842,15.946396511926133,0.5385996409335727,0.33983072582713514
2025-2026,Christmas Week,2025-12-25,4,15437,13.001230809095032,12.230355639049039,0.589492777093995,0.18138239295199843
2025-2026,Christmas Week,2025-12-26,5,20028,35.86978230477332,29.563610944677453,6.001597763131616,0.30457359696425
2025-2026,Christmas Week,2025-12-27,6,19153,41.1058319845455,36.64177935571451,4.082911293269984,0.3811413355610087
2025-2026,Christmas Week,2025-12-28,7,19999,42.532126606330316,38.831941597079854,3.300165008250412,0.40002000100005003
2025-2026,New Year's Week,2025-12-29,0,20079,40.26594949947707,37.0287364908611,3.047960555804572,0.189252452811395
2025-2026,New Year's Week,2025-12-30,1,19961,31.37618355793798,30.208907369370273,0.9368268122839538,0.2304493762837533
2025-2026,New Year's Week,2025-12-31,2,16534,24.591750332647877,23.533325269142374,0.7681141889439942,0.2903108745615096
2025-2026,New Year's Week,2026-01-01,3,17388,29.543363239015413,28.07683459857373,1.000690131124914,0.4658385093167702
2025-2026,New Year's Week,2026-01-02,4,19992,25.170068027210885,23.969587835134053,1.0404161664665865,0.1600640256102441
2025-2026,New Year's Week,2026-01-03,5,19113,33.39088578454455,29.409302568932137,3.7409093287291375,0.24067388688327318
2025-2026,New Year's Week,2026-01-04,6,20018,32.70556499150764,30.787291437706067,1.6035567988810073,0.3147167549205715
2025-2026,Jan 15-30 Baseline,2026-01-15,0,18722,17.69041769041769,16.809101591710288,0.6249332336288858,0.25638286507851726
2025-2026,Jan 15-30 Baseline,2026-01-16,1,18709,21.845101288150087,21.070073226789248,0.6146774279758405,0.16035063338500188
2025-2026,Jan 15-30 Baseline,2026-01-17,2,15214,19.100828184566847,18.502694886288946,0.3286446693834626,0.2694886288944393
2025-2026,Jan 15-30 Baseline,2026-01-18,3,17282,28.83346834857077,27.109130887628748,1.429232727693554,0.2951047332484666
2025-2026,Jan 15-30 Baseline,2026-01-19,4,18876,25.460902733630007,24.687433778342868,0.5827505827505828,0.19071837253655435
2025-2026,Jan 15-30 Baseline,2026-01-20,5,16266,14.668633960408215,14.31206196975286,0.24591171769334808,0.11066027296200663
2025-2026,Jan 15-30 Baseline,2026-01-21,6,16429,12.179682269158196,11.80838760727981,0.20086432527847098,0.17043033659991477
2025-2026,Jan 15-30 Baseline,2026-01-22,7,18193,12.752157423184741,12.488319683394712,0.18138844610564503,0.0824492936843841
2025-2026,Jan 15-30 Baseline,2026-01-23,8,18227,21.736983595764524,19.043177703407032,2.496296702693806,0.19750918966368572
2025-2026,Jan 15-30 Baseline,2026-01-24,9,15463,40.03104184181595,18.86438595356658,21.06318308219621,0.10347280605315916
2025-2026,Jan 15-30 Baseline,2026-01-25,10,18675,69.70281124497993,23.052208835341364,46.48460508701472,0.16599732262382866
2025-2026,Jan 15-30 Baseline,2026-01-26,11,18042,57.47699811550826,30.168495732180467,27.120053209178586,0.1884491741492074
2025-2026,Jan 15-30 Baseline,2026-01-27,12,16191,41.5230683713174,27.533815082453216,13.859551602742265,0.12970168612191957
2025-2026,Jan 15-30 Baseline,2026-01-28,13,16411,26.677228688075072,21.637925781488025,4.899153007129364,0.14014989945768083
2025-2026,Jan 15-30 Baseline,2026-01-29,14,18217,21.00784981061646,20.376571334467805,0.5818740736674535,0.049404402481198886
2025-2026,Jan 15-30 Baseline,2026-01-30,15,18247,24.984929029429495,21.69123691565737,2.937469173014742,0.35622294075738475
